Name l b B
PDS456 10.4 11.2 M
QSO1500-4140 327.7 14.6 P
1H1613-097 3.5 28.5 B
M5-ZNG1 3.9 47.7 B
PG1709+142 34.9 28.5 B
MRK877 32.9 41.1 B
LBQS1435-0134 348.7 51.4 B
RX_J1605.3+1448 27.8 43.4 B
PG1522+101 14.9 50.1 N
PG1553+113 21.9 44.0 B
SDSSJ154553.50+093620.0 18.3 45.4 N
PG1435-067 344.0 47.2 B
SDSSJ151237.15+012846.0 1.8 47.5 B
3C323.1 33.9 49.5 B
MRK1392 2.8 50.3 B
SDSSJ151507.40+065708.0 9.0 50.4 B
SDSSJ150952.20+111047.0 13.6 53.8 P
RBS1454 5.6 52.9 N
SDSSJ150928.30+070235.0 7.8 51.6 N
MRK841 11.2 54.6 P
SDSSJ142614.79+004159.4 347.6 55.1 B
RX_J1429.6+0321 351.8 56.6 B
SDSSJ145450.10+111434.0 10.2 57.0 B
SDSSJ140655.66+015712.8 341.8 59.0 B
HE1340-0038 328.8 59.4 N
SDSSJ141949.40+060654.0 351.9 60.3 N
SDSSJ135726.27+043541.4 340.8 62.5 N
RX_J1342.1+0505 333.9 64.9 B
RX_J1426.2+1955 19.6 67.2 N
SDSSJ141542.90+163414.0 8.8 67.8 B
PG1424+240 29.5 68.2 B
KUV14189+2552 33.8 69.9 B
NGC5548 32.0 70.5 B
SDSSJ141038.40+230447.0 24.6 71.6 P
SDSSJ135712.60+170444.0 2.9 71.8 B
PG1352+183 4.4 72.9 B
PKS1354+19 9.0 73.0 B
RX_J1356.4+2515 29.3 75.30 B
RX_J1342.7+1844 0.2 75.5  B
SDSSJ135424.90+243006.3 25.9 75.6  B
SDSSJ131545.20+152556.0 329.9 77.00 B
SDSSJ134822.30+245650.0 26.4 77.0  B
PG1341+258 28.7 78.2 B
SDSSJ131802.10+262830.0 28.2 84.0 B
HS1302+2510 357.4 86.3 B
SDSSJ125846.70+242739.0 335.1 86.9 B
RX_J1303.7+2633 21.8 87.2 B
